EEG1, EEG2, EEG3, EEG4, EEG5, Eyes
1006.923,1055.678,1037.143,997.2527,810.293,0
1004.103,1047.216,1026.264,1000.879,788.5348,0
1046.41,1036.337,1009.744,1041.575,851.392,0
1087.509,1030.696,1000.879,1064.945,899.3406,0
1072.601,1032.711,1002.894,1033.919,912.6374,0
1006.923,1032.308,1014.579,981.1356,874.3589,0
990.8058,1019.414,1006.52,972.2711,859.0476,0
1018.608,1001.282,984.3589,999.6703,859.4506,0
1056.081,990.403,966.2271,1031.502,936.0073,0
1038.352,990.403,967.033,1009.744,942.8571,0
971.8681,992.0146,977.1062,949.304,824.7985,0
948.9011,982.3443,973.4799,944.8718,817.1429,0
969.0476,972.674,958.5714,978.315,855.8242,0
1012.564,967.8388,940.4396,1007.326,934.7985,0
1001.685,967.8388,942.0513,996.8498,933.9927,0
933.5897,968.6447,951.7216,931.978,825.6044,0
909.011,966.6301,949.304,906.5934,817.5458,0
930.3663,956.5568,935.2015,932.7839,860.2564,0
979.1208,946.8865,917.4725,970.6594,905.7875,0
981.1356,947.6923,915.8608,963.8095,917.4725,0
919.4872,952.5275,925.5311,904.5787,843.7363,0
892.0879,952.5275,927.5458,880.403,863.4799,0
911.8315,944.4689,917.0696,911.8315,884.8351,0
966.6301,936.4103,903.3699,954.9451,907.3993,0
981.1356,938.4249,903.3699,953.3333,941.6484,0
923.1135,940.8425,915.8608,904.9817,880.403,0
877.9854,934.7985,920.293,871.1356,832.0513,0
890.4762,926.7399,912.6374,894.1025,840.9158,0
944.8718,917.8755,896.9231,942.4542,864.6887,0
964.2125,913.0403,890.4762,944.8718,908.608,0
918.6813,919.0842,897.7289,897.7289,849.7802,0
875.9707,919.8901,904.1758,871.5385,816.337,0
886.4469,910.2198,900.5494,890.4762,872.7473,0
934.3956,902.1612,885.6411,934.7985,872.3443,0
963.8095,906.1905,882.0146,955.348,899.3406,0
929.9634,919.4872,899.7436,920.293,927.5458,0
882.4176,924.3223,911.8315,880.403,886.0439,0
884.8351,917.4725,901.7582,888.8644,850.989,0
926.7399,910.6227,886.0439,929.5604,859.0476,0
957.7656,910.6227,883.6264,949.707,939.6337,0
918.2784,914.652,896.9231,906.9963,936.4103,0
851.7949,913.4432,905.3846,851.7949,869.9268,0
