Alpha, Beta, Eyes
0.5347965,0.1276234,0
0.5376741,0.1203446,0
0.5464255,0.1112547,0
0.5682179,0.1016211,0
0.6156533,0.09322336,0
0.6379428,0.08717459,0
0.6360499,0.08285177,0
0.624059,0.07760098,0
0.6191642,0.06928401,0
0.620003,0.05864872,0
0.6335248,0.04925589,0
0.6372801,0.04455541,0
0.6195119,0.04475521,0
0.5984369,0.04867027,0
0.5895906,0.05672871,0
0.5996824,0.07008971,0
0.6218125,0.08691062,0
0.6301655,0.1030093,0
0.6399477,0.1147187,0
0.6358895,0.1193324,0
0.6155157,0.1169674,0
0.5763432,0.1107578,0
0.5206872,0.1049991,0
0.4771718,0.101977,0
0.4641809,0.1000209,0
0.4675683,0.09586844,0
0.4695698,0.08800525,0
0.4568208,0.07749881,0
0.4434398,0.06674636,0
0.4457589,0.05764931,0
0.4490848,0.04901312,0
0.4409536,0.03868032,0
0.4016182,0.02727205,0
0.3455524,0.01930004,0
0.3231074,0.01871887,0
0.3300996,0.02468813,0
0.3414659,0.03312793,0
0.3534466,0.03952789,0
0.3618704,0.0417294,0
0.3496691,0.04059431,0
0.3352039,0.03770893,0
0.3334669,0.03460848,0
0.3375067,0.0333347,0
0.3373404,0.03650583,0
0.3300903,0.04441871,0
0.3328918,0.05456636,0
0.3303391,0.0627733,0
0.3224417,0.06565925,0
0.3190096,0.06207729,0
0.3148642,0.053397,0
0.3002697,0.04250593,0
0.2986146,0.0321778,0
0.2960227,0.02547877,0
0.286583,0.02612792,0
0.2903896,0.03635923,0
0.3373201,0.05334467,0
0.4024739,0.07032724,0
0.5013438,0.08196856,1
0.6016303,0.08702908,1
0.6563333,0.08997647,1
0.7194309,0.1067263,1
0.7921924,0.1517961,1
0.8915136,0.1872562,1
0.9573056,0.2371729,1
0.9494157,0.2539243,1
0.9453173,0.2741955,1
0.9441404,0.2965509,1
0.9441404,0.3192393,1
0.9440725,0.3399515,1
0.9402863,0.3558679,1
0.9371083,0.3664072,1
0.9346084,0.3830344,1
1.115437,0.4455389,1
1.140409,0.4976444,1
1.153678,0.5368404,1
1.063827,0.6201964,1
1.060379,0.5589377,1
1.075638,0.5465061,1
0.94405,0.5246646,1
0.9617188,0.5339267,1
0.9636601,0.5345522,1
0.9636601,0.5250059,1
0.9636601,0.5087723,1
0.9636601,0.4903007,1
0.9636601,0.4721029,1
0.9571894,0.4518999,1
0.9515141,0.4311383,1
0.9077682,0.4017768,1
0.821298,0.3769444,1
0.7506043,0.3603064,1
0.7168811,0.3522931,1
0.6948315,0.3473291,1
0.6977388,0.3374161,1
0.7043732,0.3177766,1
0.701402,0.2893484,1
0.6938292,0.2627991,1
0.6954,0.2485858,1
0.7068737,0.2482688,1
0.7288401,0.2549356,1
0.7284717,0.2626143,1
0.7257529,0.2700581,1
0.7256973,0.2780742,1
0.7256973,0.2859821,1
0.7256973,0.2916936,1
0.7242848,0.2953897,1
0.7541144,0.2835908,1
0.7456852,0.2628079,1
0.7016374,0.2340025,1
0.5985684,0.2022142,1
0.5989105,0.1906701,1
0.6020531,0.1792374,1
0.6076924,0.1665511,1
0.5968794,0.1503983,1
0.5597509,0.1361884,1
0.502363,0.1317604,1
0.4457818,0.1396429,1
0.4330953,0.1557886,1
0.4340975,0.1700238,1
0.436054,0.1818814,1
0.4370252,0.1837288,1
0.4524004,0.1721061,1
0.4396971,0.1592358,1
0.4178739,0.1489389,1
0.3930953,0.1447271,1
0.3798009,0.1472644,1
0.3794427,0.1551515,1
0.363112,0.1649598,1
0.3762735,0.1846192,1
0.4538578,0.259043,1
0.456882,0.2937266,1
0.4551225,0.3004009,1
0.4194039,0.2886935,1
0.4159379,0.2641316,1
0.416011,0.2486884,1
0.4201919,0.2485265,1
0.4275795,0.2568652,1
0.4389142,0.2646634,1
0.4511096,0.2677066,1
0.4845117,0.26562,0
0.5138276,0.2582336,0
0.5219262,0.2444759,0
0.5194325,0.2260092,0
0.4981673,0.206164,0
0.4755077,0.1902735,0
0.5263459,0.1865556,0
0.6150329,0.1921581,0
0.6690491,0.1987848,0
0.7065638,0.2101737,0
0.7202703,0.2168665,0
0.7693247,0.2220565,0
0.7934121,0.2315909,0
0.8190101,0.2529599,0
0.8449146,0.2799507,0
0.8530097,0.3027887,0
0.8569198,0.3177115,0
0.8557953,0.3268114,0
0.856553,0.3314123,0
0.8582007,0.3299666,0
0.8583566,0.3213899,0
0.8583566,0.3076519,0
0.8555467,0.2920489,0
0.8520981,0.2845356,0
0.8314503,0.2755045,0
0.823424,0.2705299,0
0.8032491,0.2624162,0
0.7913219,0.24796,0
0.7881252,0.2210859,0
0.7800674,0.1869437,0
0.7381679,0.1558799,0
0.6787388,0.1320936,0
0.6557168,0.1109379,0
0.6392012,0.08992534,0
0.6300262,0.07464195,0
0.6205538,0.07002476,0
0.6183745,0.07439821,0
0.6196484,0.08312445,0
0.6244666,0.09092295,0
0.6299046,0.09373045,0
0.6232306,0.0896099,0
0.5984083,0.08049873,0
0.5580961,0.07042247,0
0.5049879,0.06284407,0
0.4641572,0.0574487,0
0.4282018,0.05052583,0
0.407396,0.03980285,0
0.4009801,0.02783326,0
0.3967066,0.01903837,0
0.391416,0.01466376,0
0.3814599,0.01210155,0
0.3798747,0.009317762,0
0.3801197,0.008753736,0
0.3861266,0.01351783,0
0.3970768,0.02260461,0
0.3920492,0.03190222,0
0.3753007,0.03787741,0
0.3692875,0.03969777,0
0.371299,0.03837945,0
0.3710456,0.03643614,0
0.3548506,0.03842522,0
